country_std,indicator_name,sex,age_group,age_categories,Year,Unemployment,GDP
Belize,Unemployment rate by sex and age,Female,Under 15,Children,2014,14.069,
Belize,Unemployment rate by sex and age,Male,15-24,Youth,2014,12.119,
Belize,Unemployment rate by sex and age,Male,25+,Adults,2014,2.499,
Belize,Unemployment rate by sex and age,Male,Under 15,Children,2014,4.767,
Benin,Unemployment rate by sex and age,Female,15-24,Youth,2014,4.807,
Benin,Unemployment rate by sex and age,Female,25+,Adults,2014,1.276,
Benin,Unemployment rate by sex and age,Female,Under 15,Children,2014,2.05,
Benin,Unemployment rate by sex and age,Male,15-24,Youth,2014,3.938,
Benin,Unemployment rate by sex and age,Male,25+,Adults,2014,1.088,
Benin,Unemployment rate by sex and age,Male,Under 15,Children,2014,1.587,
Bhutan,Unemployment rate by sex and age,Female,15-24,Youth,2014,9.826,
Bhutan,Unemployment rate by sex and age,Female,25+,Adults,2014,2.471,
Bhutan,Unemployment rate by sex and age,Female,Under 15,Children,2014,3.615,
Bhutan,Unemployment rate by sex and age,Male,15-24,Youth,2014,8.257,
Bhutan,Unemployment rate by sex and age,Male,25+,Adults,2014,1.22,
Bhutan,Unemployment rate by sex and age,Male,Under 15,Children,2014,1.979,
Bolivia,Unemployment rate by sex and age,Female,15-24,Youth,2014,6.926,
Bolivia,Unemployment rate by sex and age,Female,25+,Adults,2014,1.823,
Bolivia,Unemployment rate by sex and age,Female,Under 15,Children,2014,2.881,
Bolivia,Unemployment rate by sex and age,Male,15-24,Youth,2014,2.989,
Bolivia,Unemployment rate by sex and age,Male,25+,Adults,2014,0.913,
Bolivia,Unemployment rate by sex and age,Male,Under 15,Children,2014,1.375,
Bosnia and Herzegovina,Unemployment rate by sex and age,Female,15-24,Youth,2014,65.74,
Bosnia and Herzegovina,Unemployment rate by sex and age,Female,25+,Adults,2014,27.499,
Bosnia and Herzegovina,Unemployment rate by sex and age,Female,Under 15,Children,2014,31.137,
Bosnia and Herzegovina,Unemployment rate by sex and age,Male,15-24,Youth,2014,61.838,
Bosnia and Herzegovina,Unemployment rate by sex and age,Male,25+,Adults,2014,21.256,
Bosnia and Herzegovina,Unemployment rate by sex and age,Male,Under 15,Children,2014,25.154,
Botswana,Unemployment rate by sex and age,Female,15-24,Youth,2014,38.785,
Botswana,Unemployment rate by sex and age,Female,25+,Adults,2014,17.549,
Botswana,Unemployment rate by sex and age,Female,Under 15,Children,2014,21.215,
Botswana,Unemployment rate by sex and age,Male,15-24,Youth,2014,31.301,
Botswana,Unemployment rate by sex and age,Male,25+,Adults,2014,12.367,
Botswana,Unemployment rate by sex and age,Male,Under 15,Children,2014,15.945,
Brazil,Unemployment rate by sex and age,Female,15-24,Youth,2014,18.881,
Brazil,Unemployment rate by sex and age,Female,25+,Adults,2014,5.865,
Brazil,Unemployment rate by sex and age,Female,Under 15,Children,2014,8.33,
Brazil,Unemployment rate by sex and age,Male,15-24,Youth,2014,12.957,
Brazil,Unemployment rate by sex and age,Male,25+,Adults,2014,3.886,
Brazil,Unemployment rate by sex and age,Male,Under 15,Children,2014,5.613,
Brunei,Unemployment rate by sex and age,Female,15-24,Youth,2014,26.157,
Brunei,Unemployment rate by sex and age,Female,25+,Adults,2014,4.65,
Brunei,Unemployment rate by sex and age,Female,Under 15,Children,2014,7.863,
Brunei,Unemployment rate by sex and age,Male,15-24,Youth,2014,23.043,
Brunei,Unemployment rate by sex and age,Male,25+,Adults,2014,3.39,
Brunei,Unemployment rate by sex and age,Male,Under 15,Children,2014,6.138,
Bulgaria,Unemployment rate by sex and age,Female,15-24,Youth,2014,23.753,
Bulgaria,Unemployment rate by sex and age,Female,25+,Adults,2014,9.685,
Bulgaria,Unemployment rate by sex and age,Female,Under 15,Children,2014,10.402,
Bulgaria,Unemployment rate by sex and age,Male,15-24,Youth,2014,23.825,
Bulgaria,Unemployment rate by sex and age,Male,25+,Adults,2014,11.512,
Bulgaria,Unemployment rate by sex and age,Male,Under 15,Children,2014,12.313,
Burkina Faso,Unemployment rate by sex and age,Female,15-24,Youth,2014,7.467,
Burkina Faso,Unemployment rate by sex and age,Female,25+,Adults,2014,3.344,
Burkina Faso,Unemployment rate by sex and age,Female,Under 15,Children,2014,4.458,
Burkina Faso,Unemployment rate by sex and age,Male,15-24,Youth,2014,6.673,
Burkina Faso,Unemployment rate by sex and age,Male,25+,Adults,2014,3.089,
Burkina Faso,Unemployment rate by sex and age,Male,Under 15,Children,2014,4.134,
Burundi,Unemployment rate by sex and age,Female,15-24,Youth,2014,1.918,
Burundi,Unemployment rate by sex and age,Female,25+,Adults,2014,0.906,
Burundi,Unemployment rate by sex and age,Female,Under 15,Children,2014,1.153,
Burundi,Unemployment rate by sex and age,Male,15-24,Youth,2014,4.166,
Burundi,Unemployment rate by sex and age,Male,25+,Adults,2014,1.435,
Burundi,Unemployment rate by sex and age,Male,Under 15,Children,2014,2.02,
Cabo Verde,Unemployment rate by sex and age,Female,15-24,Youth,2014,28.366,
Cabo Verde,Unemployment rate by sex and age,Female,25+,Adults,2014,8.013,
Cabo Verde,Unemployment rate by sex and age,Female,Under 15,Children,2014,12.084,
Cabo Verde,Unemployment rate by sex and age,Male,15-24,Youth,2014,24.959,
Cabo Verde,Unemployment rate by sex and age,Male,25+,Adults,2014,7.929,
Cabo Verde,Unemployment rate by sex and age,Male,Under 15,Children,2014,11.436,
Cambodia,Unemployment rate by sex and age,Female,15-24,Youth,2014,1.009,
Cambodia,Unemployment rate by sex and age,Female,25+,Adults,2014,0.576,
Cambodia,Unemployment rate by sex and age,Female,Under 15,Children,2014,0.69,
Cambodia,Unemployment rate by sex and age,Male,15-24,Youth,2014,1.133,
Cambodia,Unemployment rate by sex and age,Male,25+,Adults,2014,0.559,
Cambodia,Unemployment rate by sex and age,Male,Under 15,Children,2014,0.69,
Cameroon,Unemployment rate by sex and age,Female,15-24,Youth,2014,6.728,
Cameroon,Unemployment rate by sex and age,Female,25+,Adults,2014,3.231,
Cameroon,Unemployment rate by sex and age,Female,Under 15,Children,2014,4.047,
Cameroon,Unemployment rate by sex and age,Male,15-24,Youth,2014,5.708,
Cameroon,Unemployment rate by sex and age,Male,25+,Adults,2014,2.227,
Cameroon,Unemployment rate by sex and age,Male,Under 15,Children,2014,3.073,
Canada,Unemployment rate by sex and age,Female,15-24,Youth,2014,11.495,
Canada,Unemployment rate by sex and age,Female,25+,Adults,2014,5.591,
Canada,Unemployment rate by sex and age,Female,Under 15,Children,2014,6.498,
Canada,Unemployment rate by sex and age,Male,15-24,Youth,2014,14.901,
Canada,Unemployment rate by sex and age,Male,25+,Adults,2014,6.236,
Canada,Unemployment rate by sex and age,Male,Under 15,Children,2014,7.488,
Central African Republic,Unemployment rate by sex and age,Female,15-24,Youth,2014,11.557,
Central African Republic,Unemployment rate by sex and age,Female,25+,Adults,2014,4.54,
Central African Republic,Unemployment rate by sex and age,Female,Under 15,Children,2014,6.767,
Central African Republic,Unemployment rate by sex and age,Male,15-24,Youth,2014,9.49,
Central African Republic,Unemployment rate by sex and age,Male,25+,Adults,2014,3.406,
Central African Republic,Unemployment rate by sex and age,Male,Under 15,Children,2014,5.078,
Chad,Unemployment rate by sex and age,Female,15-24,Youth,2014,0.591,
Chad,Unemployment rate by sex and age,Female,25+,Adults,2014,0.583,
Chad,Unemployment rate by sex and age,Female,Under 15,Children,2014,0.585,
Chad,Unemployment rate by sex and age,Male,15-24,Youth,2014,1.946,
Chad,Unemployment rate by sex and age,Male,25+,Adults,2014,0.838,
Chad,Unemployment rate by sex and age,Male,Under 15,Children,2014,1.093,
Chile,Unemployment rate by sex and age,Female,15-24,Youth,2014,19.864,
Chile,Unemployment rate by sex and age,Female,25+,Adults,2014,5.337,
Chile,Unemployment rate by sex and age,Female,Under 15,Children,2014,7.11,
Chile,Unemployment rate by sex and age,Male,15-24,Youth,2014,14.981,
Chile,Unemployment rate by sex and age,Male,25+,Adults,2014,5.174,
Chile,Unemployment rate by sex and age,Male,Under 15,Children,2014,6.33,
China,Unemployment rate by sex and age,Female,15-24,Youth,2014,9.397,
China,Unemployment rate by sex and age,Female,25+,Adults,2014,3.211,
China,Unemployment rate by sex and age,Female,Under 15,Children,2014,4.018,
China,Unemployment rate by sex and age,Male,15-24,Youth,2014,11.441,
China,Unemployment rate by sex and age,Male,25+,Adults,2014,4.167,
China,Unemployment rate by sex and age,Male,Under 15,Children,2014,5.123,
Colombia,Unemployment rate by sex and age,Female,15-24,Youth,2014,23.59,
Colombia,Unemployment rate by sex and age,Female,25+,Adults,2014,8.592,
Colombia,Unemployment rate by sex and age,Female,Under 15,Children,2014,11.304,
Colombia,Unemployment rate by sex and age,Male,15-24,Youth,2014,14.566,
Colombia,Unemployment rate by sex and age,Male,25+,Adults,2014,5.221,
Colombia,Unemployment rate by sex and age,Male,Under 15,Children,2014,6.987,
Comoros,Unemployment rate by sex and age,Female,15-24,Youth,2014,9.962,
Comoros,Unemployment rate by sex and age,Female,25+,Adults,2014,4.676,
Comoros,Unemployment rate by sex and age,Female,Under 15,Children,2014,5.325,
Comoros,Unemployment rate by sex and age,Male,15-24,Youth,2014,9.768,
Comoros,Unemployment rate by sex and age,Male,25+,Adults,2014,3.803,
Comoros,Unemployment rate by sex and age,Male,Under 15,Children,2014,4.433,
Republic of the Congo,Unemployment rate by sex and age,Female,15-24,Youth,2014,39.528,
Republic of the Congo,Unemployment rate by sex and age,Female,25+,Adults,2014,16.201,
Republic of the Congo,Unemployment rate by sex and age,Female,Under 15,Children,2014,20.988,
Republic of the Congo,Unemployment rate by sex and age,Male,15-24,Youth,2014,41.91,
Republic of the Congo,Unemployment rate by sex and age,Male,25+,Adults,2014,12.935,
Republic of the Congo,Unemployment rate by sex and age,Male,Under 15,Children,2014,18.457,
Democratic Republic of the Congo,Unemployment rate by sex and age,Female,15-24,Youth,2014,6.467,
Democratic Republic of the Congo,Unemployment rate by sex and age,Female,25+,Adults,2014,2.737,
Democratic Republic of the Congo,Unemployment rate by sex and age,Female,Under 15,Children,2014,3.562,
Democratic Republic of the Congo,Unemployment rate by sex and age,Male,15-24,Youth,2014,10.628,
Democratic Republic of the Congo,Unemployment rate by sex and age,Male,25+,Adults,2014,4.106,
Democratic Republic of the Congo,Unemployment rate by sex and age,Male,Under 15,Children,2014,5.227,
Costa Rica,Unemployment rate by sex and age,Female,15-24,Youth,2014,29.622,
Costa Rica,Unemployment rate by sex and age,Female,25+,Adults,2014,6.799,
Costa Rica,Unemployment rate by sex and age,Female,Under 15,Children,2014,10.515,
Costa Rica,Unemployment rate by sex and age,Male,15-24,Youth,2014,20.825,
Costa Rica,Unemployment rate by sex and age,Male,25+,Adults,2014,4.411,
Costa Rica,Unemployment rate by sex and age,Male,Under 15,Children,2014,7.16,
Croatia,Unemployment rate by sex and age,Female,15-24,Youth,2014,46.396,
Croatia,Unemployment rate by sex and age,Female,25+,Adults,2014,15.894,
Croatia,Unemployment rate by sex and age,Female,Under 15,Children,2014,18.268,
Croatia,Unemployment rate by sex and age,Male,15-24,Youth,2014,44.938,
Croatia,Unemployment rate by sex and age,Male,25+,Adults,2014,13.466,
Croatia,Unemployment rate by sex and age,Male,Under 15,Children,2014,16.448,
Cyprus,Unemployment rate by sex and age,Female,15-24,Youth,2014,34.344,
Cyprus,Unemployment rate by sex and age,Female,25+,Adults,2014,12.883,
Cyprus,Unemployment rate by sex and age,Female,Under 15,Children,2014,15.227,
Cyprus,Unemployment rate by sex and age,Male,15-24,Youth,2014,36.617,
Cyprus,Unemployment rate by sex and age,Male,25+,Adults,2014,14.852,
Cyprus,Unemployment rate by sex and age,Male,Under 15,Children,2014,17.172,
Czechia,Unemployment rate by sex and age,Female,15-24,Youth,2014,17.091,
Czechia,Unemployment rate by sex and age,Female,25+,Adults,2014,6.77,
Czechia,Unemployment rate by sex and age,Female,Under 15,Children,2014,7.394,
Czechia,Unemployment rate by sex and age,Male,15-24,Youth,2014,15.044,
Czechia,Unemployment rate by sex and age,Male,25+,Adults,2014,4.323,
Czechia,Unemployment rate by sex and age,Male,Under 15,Children,2014,5.103,
Ivory Coast,Unemployment rate by sex and age,Female,15-24,Youth,2014,5.741,
Ivory Coast,Unemployment rate by sex and age,Female,25+,Adults,2014,3.304,
Ivory Coast,Unemployment rate by sex and age,Female,Under 15,Children,2014,3.94,
Ivory Coast,Unemployment rate by sex and age,Male,15-24,Youth,2014,3.753,
Ivory Coast,Unemployment rate by sex and age,Male,25+,Adults,2014,2.358,
Ivory Coast,Unemployment rate by sex and age,Male,Under 15,Children,2014,2.691,
Denmark,Unemployment rate by sex and age,Female,15-24,Youth,2014,12.847,
Denmark,Unemployment rate by sex and age,Female,25+,Adults,2014,6.107,
Denmark,Unemployment rate by sex and age,Female,Under 15,Children,2014,7.147,
Denmark,Unemployment rate by sex and age,Male,15-24,Youth,2014,15.516,
Denmark,Unemployment rate by sex and age,Male,25+,Adults,2014,5.284,
Denmark,Unemployment rate by sex and age,Male,Under 15,Children,2014,6.736,
Djibouti,Unemployment rate by sex and age,Female,15-24,Youth,2014,74.485,
Djibouti,Unemployment rate by sex and age,Female,25+,Adults,2014,26.756,
Djibouti,Unemployment rate by sex and age,Female,Under 15,Children,2014,36.384,
Djibouti,Unemployment rate by sex and age,Male,15-24,Youth,2014,72.377,
Djibouti,Unemployment rate by sex and age,Male,25+,Adults,2014,15.562,
Djibouti,Unemployment rate by sex and age,Male,Under 15,Children,2014,22.374,
Dominican Republic,Unemployment rate by sex and age,Female,15-24,Youth,2014,20.876,
Dominican Republic,Unemployment rate by sex and age,Female,25+,Adults,2014,7.491,
Dominican Republic,Unemployment rate by sex and age,Female,Under 15,Children,2014,9.766,
Dominican Republic,Unemployment rate by sex and age,Male,15-24,Youth,2014,9.326,
Dominican Republic,Unemployment rate by sex and age,Male,25+,Adults,2014,3.806,
Dominican Republic,Unemployment rate by sex and age,Male,Under 15,Children,2014,4.868,
Ecuador,Unemployment rate by sex and age,Female,15-24,Youth,2014,11.886,
Ecuador,Unemployment rate by sex and age,Female,25+,Adults,2014,2.738,
Ecuador,Unemployment rate by sex and age,Female,Under 15,Children,2014,4.141,
Ecuador,Unemployment rate by sex and age,Male,15-24,Youth,2014,7.529,
Ecuador,Unemployment rate by sex and age,Male,25+,Adults,2014,2.093,
Ecuador,Unemployment rate by sex and age,Male,Under 15,Children,2014,3.068,
Egypt,Unemployment rate by sex and age,Female,15-24,Youth,2014,45.236,
Egypt,Unemployment rate by sex and age,Female,25+,Adults,2014,17.684,
Egypt,Unemployment rate by sex and age,Female,Under 15,Children,2014,23.935,
Egypt,Unemployment rate by sex and age,Male,15-24,Youth,2014,27.159,
Egypt,Unemployment rate by sex and age,Male,25+,Adults,2014,5.778,
Egypt,Unemployment rate by sex and age,Male,Under 15,Children,2014,9.704,
El Salvador,Unemployment rate by sex and age,Female,15-24,Youth,2014,9.106,
El Salvador,Unemployment rate by sex and age,Female,25+,Adults,2014,1.854,
El Salvador,Unemployment rate by sex and age,Female,Under 15,Children,2014,3.132,
El Salvador,Unemployment rate by sex and age,Male,15-24,Youth,2014,9.831,
El Salvador,Unemployment rate by sex and age,Male,25+,Adults,2014,3.232,
El Salvador,Unemployment rate by sex and age,Male,Under 15,Children,2014,4.877,
Equatorial Guinea,Unemployment rate by sex and age,Female,15-24,Youth,2014,17.057,
Equatorial Guinea,Unemployment rate by sex and age,Female,25+,Adults,2014,7.568,
Equatorial Guinea,Unemployment rate by sex and age,Female,Under 15,Children,2014,9.226,
Equatorial Guinea,Unemployment rate by sex and age,Male,15-24,Youth,2014,14.453,
Equatorial Guinea,Unemployment rate by sex and age,Male,25+,Adults,2014,6.006,
Equatorial Guinea,Unemployment rate by sex and age,Male,Under 15,Children,2014,7.224,
Eritrea,Unemployment rate by sex and age,Female,15-24,Youth,2014,11.719,
Eritrea,Unemployment rate by sex and age,Female,25+,Adults,2014,4.548,
Eritrea,Unemployment rate by sex and age,Female,Under 15,Children,2014,6.749,
Eritrea,Unemployment rate by sex and age,Male,15-24,Youth,2014,9.105,
Eritrea,Unemployment rate by sex and age,Male,25+,Adults,2014,3.23,
Eritrea,Unemployment rate by sex and age,Male,Under 15,Children,2014,5.069,
Estonia,Unemployment rate by sex and age,Female,15-24,Youth,2014,9.971,
Estonia,Unemployment rate by sex and age,Female,25+,Adults,2014,6.539,
Estonia,Unemployment rate by sex and age,Female,Under 15,Children,2014,6.808,
Estonia,Unemployment rate by sex and age,Male,15-24,Youth,2014,19.191,
Estonia,Unemployment rate by sex and age,Male,25+,Adults,2014,6.78,
Estonia,Unemployment rate by sex and age,Male,Under 15,Children,2014,7.857,
Eswatini,Unemployment rate by sex and age,Female,15-24,Youth,2014,51.195,
Eswatini,Unemployment rate by sex and age,Female,25+,Adults,2014,19.909,
Eswatini,Unemployment rate by sex and age,Female,Under 15,Children,2014,25.827,
Eswatini,Unemployment rate by sex and age,Male,15-24,Youth,2014,46.579,
Eswatini,Unemployment rate by sex and age,Male,25+,Adults,2014,17.062,
Eswatini,Unemployment rate by sex and age,Male,Under 15,Children,2014,21.96,
Ethiopia,Unemployment rate by sex and age,Female,15-24,Youth,2014,4.685,
Ethiopia,Unemployment rate by sex and age,Female,25+,Adults,2014,2.264,
Ethiopia,Unemployment rate by sex and age,Female,Under 15,Children,2014,3.093,
Ethiopia,Unemployment rate by sex and age,Male,15-24,Youth,2014,2.695,
Ethiopia,Unemployment rate by sex and age,Male,25+,Adults,2014,1.224,
Ethiopia,Unemployment rate by sex and age,Male,Under 15,Children,2014,1.713,
Fiji,Unemployment rate by sex and age,Female,15-24,Youth,2014,18.954,
Fiji,Unemployment rate by sex and age,Female,25+,Adults,2014,2.204,
Fiji,Unemployment rate by sex and age,Female,Under 15,Children,2014,5.129,
Fiji,Unemployment rate by sex and age,Male,15-24,Youth,2014,11.714,
Fiji,Unemployment rate by sex and age,Male,25+,Adults,2014,2.4,
Fiji,Unemployment rate by sex and age,Male,Under 15,Children,2014,3.897,
Finland,Unemployment rate by sex and age,Female,15-24,Youth,2014,18.274,
Finland,Unemployment rate by sex and age,Female,25+,Adults,2014,6.411,
Finland,Unemployment rate by sex and age,Female,Under 15,Children,2014,7.946,
Finland,Unemployment rate by sex and age,Male,15-24,Youth,2014,22.552,
Finland,Unemployment rate by sex and age,Male,25+,Adults,2014,7.469,
Finland,Unemployment rate by sex and age,Male,Under 15,Children,2014,9.325,
France,Unemployment rate by sex and age,Female,15-24,Youth,2014,24.067,
France,Unemployment rate by sex and age,Female,25+,Adults,2014,8.752,
France,Unemployment rate by sex and age,Female,Under 15,Children,2014,10.006,
France,Unemployment rate by sex and age,Male,15-24,Youth,2014,25.558,
France,Unemployment rate by sex and age,Male,25+,Adults,2014,8.944,
France,Unemployment rate by sex and age,Male,Under 15,Children,2014,10.515,
Gabon,Unemployment rate by sex and age,Female,15-24,Youth,2014,41.588,
Gabon,Unemployment rate by sex and age,Female,25+,Adults,2014,26.326,
Gabon,Unemployment rate by sex and age,Female,Under 15,Children,2014,28.103,
Gabon,Unemployment rate by sex and age,Male,15-24,Youth,2014,30.679,
Gabon,Unemployment rate by sex and age,Male,25+,Adults,2014,12.316,
Gabon,Unemployment rate by sex and age,Male,Under 15,Children,2014,14.186,
Gambia,Unemployment rate by sex and age,Female,15-24,Youth,2014,14.205,
Gambia,Unemployment rate by sex and age,Female,25+,Adults,2014,8.349,
Gambia,Unemployment rate by sex and age,Female,Under 15,Children,2014,9.867,
Gambia,Unemployment rate by sex and age,Male,15-24,Youth,2014,10.505,
Gambia,Unemployment rate by sex and age,Male,25+,Adults,2014,5.686,
Gambia,Unemployment rate by sex and age,Male,Under 15,Children,2014,6.859,
Georgia,Unemployment rate by sex and age,Female,15-24,Youth,2014,33.075,
Georgia,Unemployment rate by sex and age,Female,25+,Adults,2014,12.956,
Georgia,Unemployment rate by sex and age,Female,Under 15,Children,2014,14.48,
Georgia,Unemployment rate by sex and age,Male,15-24,Youth,2014,40.408,
Georgia,Unemployment rate by sex and age,Male,25+,Adults,2014,16.987,
Georgia,Unemployment rate by sex and age,Male,Under 15,Children,2014,19.93,
Germany,Unemployment rate by sex and age,Female,15-24,Youth,2014,7.039,
Germany,Unemployment rate by sex and age,Female,25+,Adults,2014,4.354,
Germany,Unemployment rate by sex and age,Female,Under 15,Children,2014,4.631,
Germany,Unemployment rate by sex and age,Male,15-24,Youth,2014,8.323,
Germany,Unemployment rate by sex and age,Male,25+,Adults,2014,4.925,
Germany,Unemployment rate by sex and age,Male,Under 15,Children,2014,5.281,
Ghana,Unemployment rate by sex and age,Female,15-24,Youth,2014,9.309,
Ghana,Unemployment rate by sex and age,Female,25+,Adults,2014,3.215,
Ghana,Unemployment rate by sex and age,Female,Under 15,Children,2014,4.396,
Ghana,Unemployment rate by sex and age,Male,15-24,Youth,2014,9.38,
Ghana,Unemployment rate by sex and age,Male,25+,Adults,2014,3.118,
Ghana,Unemployment rate by sex and age,Male,Under 15,Children,2014,4.378,
